DIA,MES,ANO,HORA,MINUTO,ORIGEM,DESTINO
1,4,2014,14,3,777-777,295-838
1,4,2014,14,14,888-888,584-794
1,4,2014,14,15,888-888,276-237
1,4,2014,14,18,999-999,554-823
1,4,2014,14,37,999-999,584-794
1,4,2014,15,0,888-888,795-375
1,4,2014,15,2,999-999,460-290
1,4,2014,15,4,999-999,415-119
1,4,2014,15,5,777-777,829-984
1,4,2014,15,8,999-999,518-403
1,4,2014,15,19,777-777,676-556
1,4,2014,15,42,777-777,511-592
1,4,2014,15,44,777-777,511-592
1,4,2014,15,56,999-999,744-955
1,4,2014,16,19,888-888,830-719
1,4,2014,16,36,888-888,659-340
1,4,2014,17,5,888-888,709-539
1,4,2014,17,13,777-777,910-460
1,4,2014,17,17,999-999,530-135
1,4,2014,17,32,999-999,761-931
1,4,2014,17,54,999-999,736-976
1,4,2014,17,56,888-888,220-106
1,4,2014,17,59,888-888,734-320
1,4,2014,18,2,777-777,876-218
1,4,2014,18,31,777-777,644-829
1,4,2014,18,37,999-999,127-743
1,4,2014,18,40,999-999,860-973
1,4,2014,18,41,777-777,598-389
1,4,2014,18,51,999-999,667-741
1,4,2014,19,9,999-999,730-977
1,4,2014,19,22,999-999,977-895
1,4,2014,19,41,777-777,664-435
1,4,2014,20,5,888-888,468-349
1,4,2014,20,9,777-777,175-794
1,4,2014,20,16,999-999,641-926
1,4,2014,20,17,777-777,205-205
1,4,2014,20,30,777-777,705-198
1,4,2014,20,32,999-999,203-051
1,4,2014,20,39,777-777,264-323
1,4,2014,21,3,888-888,693-046
1,4,2014,21,32,999-999,946-500
1,4,2014,21,37,888-888,828-423
1,4,2014,21,43,777-777,736-976
1,4,2014,21,47,999-999,645-289
1,4,2014,21,49,888-888,386-800
1,4,2014,21,58,999-999,667-741
1,4,2014,22,59,777-777,407-179
1,4,2014,23,0,999-999,895-483
1,4,2014,23,0,777-777,734-320
1,4,2014,23,29,888-888,730-977
1,4,2014,23,36,777-777,853-439
1,4,2014,23,42,999-999,249-168
1,4,2014,23,43,888-888,203-051
1,4,2014,23,45,999-999,220-106
2,4,2014,0,1,999-999,148-880
2,4,2014,0,8,888-888,131-864
2,4,2014,0,19,888-888,990-940
2,4,2014,0,28,888-888,276-237
2,4,2014,0,31,777-777,598-558
2,4,2014,0,32,999-999,479-476
2,4,2014,0,34,777-777,530-135
2,4,2014,0,40,777-777,829-984
2,4,2014,0,47,999-999,393-359
2,4,2014,0,51,999-999,422-699
2,4,2014,0,52,888-888,689-975
2,4,2014,0,58,888-888,290-129
2,4,2014,1,5,777-777,393-359
2,4,2014,1,20,999-999,730-977
2,4,2014,1,25,999-999,127-743
2,4,2014,1,29,777-777,540-451
2,4,2014,1,40,888-888,826-107
2,4,2014,1,53,888-888,156-115
2,4,2014,1,59,999-999,479-476
2,4,2014,1,59,777-777,203-051
2,4,2014,2,13,777-777,705-911
2,4,2014,2,16,777-777,837-966
2,4,2014,2,53,888-888,286-218
2,4,2014,3,15,999-999,829-984
2,4,2014,3,21,999-999,729-133
2,4,2014,3,40,777-777,667-741
2,4,2014,3,53,777-777,761-931
2,4,2014,3,55,888-888,180-434
2,4,2014,4,16,999-999,527-735
2,4,2014,4,18,888-888,659-340
2,4,2014,4,19,777-777,641-895
2,4,2014,4,25,999-999,651-336
2,4,2014,4,31,888-888,133-919
2,4,2014,4,31,999-999,709-539
2,4,2014,4,32,888-888,654-531
2,4,2014,4,38,999-999,127-743
2,4,2014,4,43,777-777,186-069
2,4,2014,4,49,999-999,494-318
2,4,2014,4,49,888-888,468-349
2,4,2014,4,50,777-777,676-556
2,4,2014,4,57,777-777,133-919
2,4,2014,4,58,999-999,203-051
2,4,2014,5,3,888-888,422-699
2,4,2014,5,7,888-888,761-931
2,4,2014,5,15,777-777,638-077
2,4,2014,5,16,888-888,394-441
2,4,2014,5,24,888-888,837-966
2,4,2014,5,40,999-999,449-655
2,4,2014,5,41,999-999,415-119
2,4,2014,5,48,888-888,638-233
2,4,2014,5,49,777-777,676-556
2,4,2014,5,57,777-777,645-289
2,4,2014,6,0,777-777,664-435
2,4,2014,6,13,888-888,249-168
2,4,2014,6,14,777-777,659-340
2,4,2014,6,14,999-999,270-713
2,4,2014,6,26,888-888,830-001
2,4,2014,6,59,777-777,910-460
2,4,2014,7,14,999-999,494-318
2,4,2014,7,27,999-999,426-972
2,4,2014,7,44,777-777,876-218
2,4,2014,7,51,777-777,384-737
2,4,2014,8,12,999-999,664-435
2,4,2014,8,17,888-888,778-692
2,4,2014,8,33,999-999,836-032
2,4,2014,8,40,888-888,139-853
2,4,2014,8,58,777-777,693-046
2,4,2014,9,32,777-777,946-500
2,4,2014,9,35,777-777,426-972
2,4,2014,9,39,777-777,829-984
2,4,2014,9,50,777-777,774-014
2,4,2014,9,53,999-999,276-237
2,4,2014,9,57,999-999,521-151
2,4,2014,10,8,777-777,641-926
2,4,2014,10,18,777-777,828-423
2,4,2014,10,33,999-999,243-240
2,4,2014,10,38,777-777,700-151
2,4,2014,10,38,999-999,521-151
2,4,2014,10,42,999-999,096-996
2,4,2014,10,48,999-999,990-940
2,4,2014,10,48,777-777,347-222
2,4,2014,10,54,777-777,709-539
2,4,2014,11,1,888-888,276-237
2,4,2014,11,12,777-777,606-969
2,4,2014,11,22,777-777,131-864
2,4,2014,11,22,888-888,270-713
2,4,2014,11,45,777-777,449-580
2,4,2014,11,53,888-888,334-388
2,4,2014,11,54,888-888,860-973
2,4,2014,12,30,888-888,826-107
2,4,2014,12,40,888-888,693-046
2,4,2014,12,54,888-888,264-323
2,4,2014,12,58,999-999,778-383
2,4,2014,13,0,999-999,644-829
2,4,2014,13,29,888-888,962-084
2,4,2014,13,34,777-777,584-794
2,4,2014,13,41,999-999,853-439
2,4,2014,13,47,888-888,139-853
2,4,2014,13,57,777-777,709-539
2,4,2014,13,57,999-999,962-084
2,4,2014,13,59,888-888,362-450
2,4,2014,14,15,777-777,249-168
2,4,2014,14,20,777-777,170-652
2,4,2014,14,23,888-888,711-811
2,4,2014,14,38,999-999,148-880
2,4,2014,14,40,888-888,414-720
2,4,2014,14,43,888-888,309-289
2,4,2014,14,43,777-777,730-977
2,4,2014,14,53,999-999,315-664
2,4,2014,15,7,777-777,524-351
2,4,2014,15,36,999-999,420-586
2,4,2014,15,40,777-777,566-456
2,4,2014,16,9,888-888,129-360
2,4,2014,16,10,888-888,156-115
2,4,2014,16,12,777-777,659-340
2,4,2014,16,30,999-999,102-704
2,4,2014,16,55,999-999,290-129
2,4,2014,16,56,999-999,264-323
2,4,2014,17,9,888-888,644-829
2,4,2014,17,10,777-777,524-351
2,4,2014,17,13,777-777,910-460
2,4,2014,17,14,999-999,651-336
2,4,2014,17,31,777-777,449-580
2,4,2014,17,41,999-999,460-290
2,4,2014,18,2,999-999,175-794
2,4,2014,18,21,888-888,249-168
2,4,2014,18,33,999-999,705-911
2,4,2014,18,35,888-888,139-853
2,4,2014,18,40,777-777,148-880
2,4,2014,18,52,777-777,606-969
2,4,2014,19,0,888-888,524-351
2,4,2014,19,1,777-777,560-747
2,4,2014,19,6,888-888,286-218
2,4,2014,19,18,777-777,394-441
2,4,2014,20,5,888-888,422-699
2,4,2014,20,9,888-888,667-741
2,4,2014,20,12,888-888,778-383
2,4,2014,20,32,888-888,521-151
2,4,2014,20,48,888-888,276-237
2,4,2014,21,17,999-999,826-107
2,4,2014,21,23,999-999,437-032
2,4,2014,21,41,888-888,914-310
2,4,2014,21,42,999-999,110-733
2,4,2014,21,44,777-777,566-456
2,4,2014,21,45,777-777,354-512
2,4,2014,21,53,777-777,334-388
2,4,2014,22,3,777-777,778-692
2,4,2014,22,49,999-999,853-439
2,4,2014,23,6,888-888,468-349
2,4,2014,23,19,999-999,249-168
2,4,2014,23,21,888-888,953-940
2,4,2014,23,27,777-777,384-737
2,4,2014,23,30,777-777,131-864
2,4,2014,23,55,888-888,358-198
3,4,2014,0,14,888-888,518-403
3,4,2014,0,30,777-777,850-469
3,4,2014,0,40,777-777,220-106
3,4,2014,0,43,777-777,110-733
3,4,2014,0,51,999-999,560-747
3,4,2014,0,53,777-777,638-077
3,4,2014,0,56,999-999,264-323
3,4,2014,0,58,888-888,133-919
3,4,2014,1,12,777-777,309-289
3,4,2014,1,33,999-999,645-289
3,4,2014,1,44,777-777,651-336
3,4,2014,1,53,777-777,437-032
3,4,2014,1,58,888-888,850-469
3,4,2014,2,42,888-888,569-307
3,4,2014,2,46,888-888,422-699
3,4,2014,3,14,777-777,102-704
3,4,2014,3,18,777-777,990-940
3,4,2014,3,23,888-888,530-135
3,4,2014,3,28,999-999,468-349
3,4,2014,3,38,777-777,479-476
3,4,2014,3,46,888-888,434-112
3,4,2014,3,55,777-777,706-375
3,4,2014,4,0,888-888,276-237
3,4,2014,4,9,888-888,711-811
3,4,2014,4,20,777-777,910-460
3,4,2014,4,21,888-888,860-973
3,4,2014,4,47,777-777,540-451
3,4,2014,4,57,888-888,638-233
3,4,2014,5,0,888-888,952-129
3,4,2014,5,18,888-888,096-996
3,4,2014,5,25,777-777,368-095
3,4,2014,5,43,888-888,479-476
3,4,2014,5,45,777-777,876-218
3,4,2014,5,49,888-888,347-222
3,4,2014,6,15,777-777,946-500
3,4,2014,6,33,777-777,102-704
3,4,2014,6,34,999-999,460-290
3,4,2014,6,48,888-888,479-476
3,4,2014,6,52,777-777,638-233
3,4,2014,6,55,999-999,705-911
3,4,2014,7,15,999-999,523-638
3,4,2014,7,16,999-999,192-992
3,4,2014,7,25,999-999,180-434
3,4,2014,7,26,777-777,437-032
3,4,2014,7,38,888-888,734-320
3,4,2014,7,48,999-999,693-046
3,4,2014,7,49,777-777,290-129
3,4,2014,7,58,777-777,276-237
3,4,2014,8,6,888-888,830-719
3,4,2014,8,9,999-999,362-450
3,4,2014,8,26,888-888,394-441
3,4,2014,8,30,999-999,215-621
3,4,2014,8,57,888-888,393-359
3,4,2014,8,59,999-999,460-290
3,4,2014,9,12,999-999,876-218
3,4,2014,9,20,999-999,814-087
3,4,2014,9,24,777-777,729-133
3,4,2014,9,33,999-999,264-323
3,4,2014,9,35,777-777,689-975
3,4,2014,9,37,777-777,511-261
3,4,2014,9,43,777-777,711-811
3,4,2014,9,57,999-999,860-973
3,4,2014,10,0,888-888,554-823
3,4,2014,10,5,777-777,638-233
3,4,2014,10,7,888-888,812-548
3,4,2014,10,19,777-777,850-469
3,4,2014,10,42,777-777,523-638
3,4,2014,10,45,777-777,139-853
3,4,2014,11,8,999-999,203-051
3,4,2014,11,23,888-888,354-512
3,4,2014,11,38,999-999,133-919
3,4,2014,11,42,999-999,700-151
3,4,2014,11,42,777-777,651-336
3,4,2014,11,54,999-999,276-237
3,4,2014,11,57,999-999,203-051
3,4,2014,11,59,999-999,895-483
3,4,2014,12,13,999-999,374-261
3,4,2014,12,21,777-777,736-976
3,4,2014,12,27,777-777,830-001
3,4,2014,12,37,888-888,393-359
3,4,2014,12,38,888-888,641-895
3,4,2014,12,40,888-888,205-205
3,4,2014,12,55,777-777,362-450
3,4,2014,13,2,888-888,641-926
3,4,2014,13,26,999-999,711-811
3,4,2014,13,29,777-777,709-539
3,4,2014,13,32,888-888,676-556
3,4,2014,13,37,999-999,566-456
3,4,2014,13,49,888-888,449-655
3,4,2014,13,55,888-888,644-829
3,4,2014,13,56,888-888,990-940
3,4,2014,14,2,999-999,460-290
3,4,2014,14,4,999-999,651-336
3,4,2014,14,29,999-999,468-349
3,4,2014,14,41,999-999,910-460
3,4,2014,15,0,888-888,990-940
3,4,2014,15,4,777-777,644-829
3,4,2014,15,20,888-888,295-838
3,4,2014,15,32,777-777,175-794
3,4,2014,16,4,777-777,814-087
3,4,2014,16,23,777-777,700-151
3,4,2014,16,27,999-999,638-077
3,4,2014,16,35,777-777,554-823
3,4,2014,16,38,999-999,470-128
3,4,2014,16,44,888-888,437-032
3,4,2014,16,46,777-777,215-621
3,4,2014,16,49,777-777,290-129
3,4,2014,16,54,999-999,368-095
3,4,2014,16,57,888-888,426-972
3,4,2014,16,58,888-888,156-115
3,4,2014,17,6,888-888,518-403
3,4,2014,17,12,777-777,205-205
3,4,2014,17,32,777-777,133-919
3,4,2014,17,45,999-999,860-973
3,4,2014,17,46,888-888,449-580
3,4,2014,17,58,999-999,834-103
3,4,2014,18,3,888-888,853-439
3,4,2014,18,6,999-999,730-977
3,4,2014,18,14,888-888,131-864
3,4,2014,18,18,888-888,560-747
3,4,2014,18,30,777-777,910-460
3,4,2014,18,35,777-777,479-476
3,4,2014,18,37,999-999,837-966
3,4,2014,18,45,777-777,180-434
3,4,2014,18,45,777-777,837-966
3,4,2014,18,51,888-888,243-240
3,4,2014,18,56,999-999,705-911
3,4,2014,19,22,777-777,470-128
3,4,2014,19,23,777-777,518-403
3,4,2014,19,40,777-777,566-456
3,4,2014,19,50,888-888,170-652
3,4,2014,19,53,999-999,290-129
3,4,2014,20,9,999-999,569-307
3,4,2014,20,15,888-888,761-931
3,4,2014,20,16,999-999,540-451
3,4,2014,20,20,999-999,530-135
3,4,2014,20,28,888-888,702-839
3,4,2014,20,31,888-888,523-638
3,4,2014,20,35,888-888,705-911
3,4,2014,20,36,999-999,668-901
3,4,2014,20,37,999-999,518-403
3,4,2014,20,52,777-777,774-014
3,4,2014,20,55,777-777,449-655
3,4,2014,21,11,999-999,830-719
3,4,2014,21,13,888-888,545-330
3,4,2014,21,17,777-777,540-451
3,4,2014,21,41,777-777,799-963
3,4,2014,21,43,999-999,540-451
3,4,2014,21,48,777-777,347-222
3,4,2014,22,5,999-999,778-692
3,4,2014,22,6,999-999,139-853
3,4,2014,22,12,777-777,744-955
3,4,2014,22,12,888-888,828-423
3,4,2014,22,18,888-888,102-704
3,4,2014,22,42,777-777,102-704
3,4,2014,22,49,888-888,860-973
3,4,2014,23,3,999-999,645-289
3,4,2014,23,7,777-777,511-261
3,4,2014,23,15,888-888,477-266
3,4,2014,23,21,777-777,894-693
3,4,2014,23,39,888-888,638-233
3,4,2014,23,42,777-777,828-423
3,4,2014,23,55,777-777,730-977
3,4,2014,23,58,999-999,468-349
4,4,2014,0,10,999-999,566-456
4,4,2014,0,48,888-888,728-994
4,4,2014,0,58,999-999,441-856
4,4,2014,0,59,888-888,470-128
4,4,2014,1,1,777-777,426-972
4,4,2014,1,19,777-777,664-435
4,4,2014,1,24,999-999,774-014
4,4,2014,1,28,888-888,736-976
4,4,2014,1,34,777-777,128-973
4,4,2014,1,34,777-777,606-969
4,4,2014,1,51,888-888,437-032
4,4,2014,1,59,888-888,560-747
4,4,2014,2,1,999-999,180-434
4,4,2014,2,6,999-999,180-434
4,4,2014,2,13,888-888,468-349
4,4,2014,2,26,777-777,765-650
4,4,2014,2,51,999-999,894-693
4,4,2014,3,6,999-999,834-103
4,4,2014,3,26,999-999,946-500
4,4,2014,3,30,999-999,828-423
4,4,2014,3,35,777-777,386-800
4,4,2014,3,41,999-999,910-460
4,4,2014,3,46,777-777,664-435
4,4,2014,3,57,888-888,853-439
4,4,2014,4,0,777-777,386-800
4,4,2014,4,6,999-999,139-853
4,4,2014,4,10,999-999,641-926
4,4,2014,4,24,999-999,569-307
4,4,2014,4,25,999-999,127-743
4,4,2014,4,59,888-888,638-077
4,4,2014,5,22,888-888,185-652
4,4,2014,5,26,777-777,799-963
4,4,2014,5,36,888-888,761-931
4,4,2014,5,48,888-888,962-084
4,4,2014,5,48,888-888,129-360
4,4,2014,5,49,777-777,837-966
4,4,2014,5,56,999-999,566-456
4,4,2014,5,59,999-999,394-441
4,4,2014,6,2,777-777,362-450
4,4,2014,6,5,999-999,102-704
4,4,2014,6,35,999-999,484-815
4,4,2014,6,40,777-777,420-586
4,4,2014,6,46,888-888,215-621
4,4,2014,6,59,777-777,962-084
4,4,2014,7,3,888-888,676-556
4,4,2014,7,10,777-777,876-218
4,4,2014,7,37,999-999,598-558
4,4,2014,7,40,888-888,203-051
4,4,2014,7,43,999-999,347-222
4,4,2014,7,43,888-888,415-119
4,4,2014,7,45,999-999,812-548
4,4,2014,7,55,999-999,853-439
4,4,2014,7,57,888-888,638-077
4,4,2014,8,1,999-999,347-222
4,4,2014,8,11,888-888,644-829
4,4,2014,8,30,777-777,127-743
4,4,2014,8,36,777-777,295-838
4,4,2014,8,52,888-888,853-439
4,4,2014,9,0,888-888,744-955
4,4,2014,9,24,999-999,414-720
4,4,2014,9,30,777-777,598-558
4,4,2014,9,33,888-888,550-515
4,4,2014,9,50,777-777,765-650
4,4,2014,9,55,777-777,734-320
4,4,2014,9,59,777-777,394-441
4,4,2014,10,1,777-777,295-838
4,4,2014,10,16,888-888,895-483
4,4,2014,10,16,777-777,569-307
4,4,2014,10,23,999-999,286-218
4,4,2014,10,23,777-777,584-794
4,4,2014,10,25,999-999,814-087
4,4,2014,10,25,999-999,953-940
4,4,2014,10,52,888-888,524-351
4,4,2014,10,57,999-999,524-351
4,4,2014,10,59,777-777,220-106
4,4,2014,11,19,888-888,545-330
4,4,2014,11,33,777-777,511-261
4,4,2014,11,34,999-999,315-664
4,4,2014,11,40,888-888,460-290
4,4,2014,11,48,777-777,566-456
4,4,2014,11,51,999-999,700-151
4,4,2014,12,2,888-888,129-360
4,4,2014,12,20,999-999,393-359
4,4,2014,12,20,888-888,358-198
4,4,2014,12,28,999-999,295-838
4,4,2014,12,39,888-888,127-743
4,4,2014,12,41,888-888,220-106
4,4,2014,13,7,999-999,449-655
4,4,2014,13,10,888-888,765-650
4,4,2014,13,27,888-888,527-735
4,4,2014,13,50,999-999,148-880
4,4,2014,14,0,777-777,700-151
4,4,2014,14,1,999-999,309-289
4,4,2014,14,2,999-999,705-911
4,4,2014,14,4,777-777,638-233
4,4,2014,14,8,888-888,540-451
4,4,2014,14,11,777-777,127-743
4,4,2014,14,15,999-999,479-476
4,4,2014,14,16,888-888,477-266
4,4,2014,14,17,999-999,523-638
4,4,2014,14,22,999-999,774-014
4,4,2014,14,40,999-999,521-151
4,4,2014,14,49,888-888,249-168
4,4,2014,15,25,777-777,133-919
4,4,2014,15,34,999-999,668-901
4,4,2014,15,44,777-777,706-375
4,4,2014,15,45,777-777,830-001
4,4,2014,15,51,777-777,853-439
4,4,2014,16,11,888-888,484-815
4,4,2014,16,30,999-999,426-972
4,4,2014,16,33,999-999,203-051
4,4,2014,16,48,999-999,102-704
4,4,2014,16,51,999-999,180-434
4,4,2014,16,55,888-888,676-556
4,4,2014,16,56,888-888,736-976
4,4,2014,17,1,888-888,096-996
4,4,2014,17,30,888-888,511-261
4,4,2014,17,34,888-888,110-733
4,4,2014,17,41,888-888,203-051
4,4,2014,18,26,999-999,449-580
4,4,2014,18,39,777-777,393-359
4,4,2014,18,40,777-777,530-135
4,4,2014,18,59,888-888,659-340
4,4,2014,19,19,777-777,705-198
4,4,2014,19,20,999-999,441-856
4,4,2014,19,42,777-777,518-403
4,4,2014,19,42,777-777,128-973
4,4,2014,19,57,999-999,420-586
4,4,2014,19,57,999-999,415-119
4,4,2014,20,1,888-888,569-307
4,4,2014,20,3,999-999,812-548
4,4,2014,20,14,888-888,185-652
4,4,2014,20,17,888-888,170-652
4,4,2014,20,37,999-999,386-800
4,4,2014,21,1,777-777,778-692
4,4,2014,21,2,777-777,276-237
4,4,2014,21,5,999-999,511-261
4,4,2014,21,6,777-777,853-439
4,4,2014,21,9,888-888,468-349
4,4,2014,21,15,999-999,156-115
4,4,2014,21,38,888-888,420-586
4,4,2014,21,39,888-888,460-290
4,4,2014,21,54,888-888,706-375
4,4,2014,21,54,888-888,309-289
4,4,2014,22,4,777-777,850-469
4,4,2014,22,7,888-888,569-307
4,4,2014,22,11,888-888,127-743
4,4,2014,22,16,888-888,434-112
4,4,2014,22,45,999-999,895-483
4,4,2014,22,45,888-888,160-939
4,4,2014,22,46,888-888,295-838
4,4,2014,22,54,999-999,129-360
4,4,2014,23,25,999-999,192-992
4,4,2014,23,27,888-888,156-115
4,4,2014,23,34,999-999,651-336
4,4,2014,23,41,999-999,860-973
4,4,2014,23,41,888-888,850-469
4,4,2014,23,54,777-777,829-984
4,4,2014,23,58,999-999,729-133
5,4,2014,0,9,999-999,598-558
5,4,2014,0,24,999-999,700-151
5,4,2014,0,35,888-888,876-218
5,4,2014,0,36,777-777,203-051
5,4,2014,0,39,888-888,434-112
5,4,2014,0,50,777-777,977-895
5,4,2014,1,3,999-999,914-310
5,4,2014,1,4,999-999,795-375
5,4,2014,1,20,888-888,830-001
5,4,2014,1,23,777-777,641-926
5,4,2014,1,32,777-777,415-119
5,4,2014,1,36,777-777,651-336
5,4,2014,1,52,777-777,249-168
5,4,2014,2,1,999-999,711-811
5,4,2014,2,6,888-888,705-198
5,4,2014,2,10,777-777,414-720
5,4,2014,2,36,999-999,914-310
5,4,2014,2,39,777-777,641-895
5,4,2014,2,41,777-777,774-014
5,4,2014,2,43,888-888,180-434
5,4,2014,2,51,999-999,795-375
5,4,2014,3,3,888-888,953-940
5,4,2014,3,4,999-999,270-713
5,4,2014,3,9,999-999,545-330
5,4,2014,3,15,888-888,354-512
5,4,2014,3,21,888-888,518-403
5,4,2014,3,22,888-888,477-266
5,4,2014,3,24,888-888,765-650
5,4,2014,3,27,999-999,170-652
5,4,2014,3,29,999-999,826-107
5,4,2014,3,35,777-777,180-434
5,4,2014,3,46,777-777,309-289
5,4,2014,3,49,777-777,706-375
5,4,2014,3,59,777-777,441-856
5,4,2014,4,6,999-999,393-359
5,4,2014,4,12,777-777,290-129
5,4,2014,4,17,888-888,110-733
5,4,2014,4,31,777-777,836-032
5,4,2014,4,54,999-999,545-330
5,4,2014,5,0,777-777,192-992
5,4,2014,5,22,777-777,946-500
5,4,2014,5,35,888-888,826-107
5,4,2014,5,42,777-777,689-975
5,4,2014,6,5,888-888,530-135
5,4,2014,6,21,999-999,795-375
5,4,2014,6,47,888-888,761-931
5,4,2014,6,50,777-777,850-469
5,4,2014,7,0,999-999,110-733
5,4,2014,7,32,777-777,449-580
5,4,2014,7,36,999-999,778-383
5,4,2014,8,2,888-888,570-391
5,4,2014,8,5,888-888,795-375
5,4,2014,8,9,888-888,315-664
5,4,2014,8,12,999-999,511-261
5,4,2014,8,27,777-777,368-095
5,4,2014,8,40,888-888,638-077
5,4,2014,8,41,777-777,550-515
5,4,2014,8,44,888-888,449-580
5,4,2014,8,51,777-777,494-318
5,4,2014,8,58,999-999,243-240
5,4,2014,8,58,888-888,148-880
5,4,2014,9,20,888-888,347-222
5,4,2014,9,25,999-999,702-839
5,4,2014,9,29,999-999,449-580
5,4,2014,9,47,777-777,659-340
5,4,2014,9,49,777-777,728-994
5,4,2014,9,51,777-777,437-032
5,4,2014,9,57,999-999,641-895
5,4,2014,10,3,888-888,554-823
5,4,2014,10,9,999-999,276-237
5,4,2014,10,17,777-777,264-323
5,4,2014,10,29,888-888,185-652
5,4,2014,10,30,999-999,659-340
5,4,2014,10,44,888-888,709-539
5,4,2014,10,47,777-777,127-743
5,4,2014,11,5,999-999,700-151
5,4,2014,11,7,888-888,734-320
5,4,2014,11,14,777-777,175-794
5,4,2014,11,37,888-888,220-106
5,4,2014,11,38,777-777,527-735
5,4,2014,11,43,999-999,651-336
5,4,2014,11,44,777-777,407-179
5,4,2014,11,44,888-888,700-151
5,4,2014,11,45,999-999,394-441
5,4,2014,11,51,999-999,570-391
5,4,2014,11,57,999-999,494-318
5,4,2014,12,3,999-999,180-434
5,4,2014,12,13,777-777,812-548
5,4,2014,12,35,777-777,830-001
5,4,2014,12,41,999-999,977-895
5,4,2014,12,59,888-888,654-531
5,4,2014,13,15,777-777,102-704
5,4,2014,13,23,999-999,826-107
5,4,2014,13,27,777-777,394-441
5,4,2014,13,36,777-777,645-289
5,4,2014,13,40,888-888,962-084
5,4,2014,14,27,777-777,540-451
5,4,2014,14,32,888-888,689-975
5,4,2014,14,37,888-888,290-129
5,4,2014,14,40,888-888,215-621
5,4,2014,14,40,999-999,584-794
5,4,2014,15,0,999-999,347-222
5,4,2014,15,15,777-777,160-939
5,4,2014,15,16,999-999,962-084
5,4,2014,15,19,777-777,215-621
5,4,2014,15,19,999-999,651-336
5,4,2014,15,20,999-999,644-829
5,4,2014,15,22,999-999,730-977
