DATA,HORA,ORIGEM,DESTINO,TR
01/04/2014,21:43:00,777-777,264-323,F
01/04/2014,21:47:00,999-999,645-289,I
01/04/2014,21:49:00,888-888,828-423,F
01/04/2014,21:58:00,999-999,645-289,F
01/04/2014,22:59:00,777-777,407-179,I
01/04/2014,23:00:00,999-999,895-483,I
01/04/2014,23:00:00,777-777,407-179,F
01/04/2014,23:29:00,888-888,730-977,I
01/04/2014,23:36:00,777-777,853-439,I
01/04/2014,23:42:00,999-999,895-483,F
01/04/2014,23:43:00,888-888,730-977,F
01/04/2014,23:45:00,999-999,220-106,I
02/04/2014,00:01:00,999-999,220-106,F
02/04/2014,00:08:00,888-888,131-864,I
02/04/2014,00:19:00,888-888,131-864,F
02/04/2014,00:28:00,888-888,276-237,I
02/04/2014,00:31:00,777-777,853-439,F
02/04/2014,00:32:00,999-999,479-476,I
02/04/2014,00:34:00,777-777,530-135,I
02/04/2014,00:40:00,777-777,530-135,F
02/04/2014,00:47:00,999-999,479-476,F
02/04/2014,00:51:00,999-999,422-699,I
02/04/2014,00:52:00,888-888,276-237,F
02/04/2014,00:58:00,888-888,290-129,I
02/04/2014,01:05:00,777-777,393-359,I
02/04/2014,01:20:00,999-999,422-699,F
02/04/2014,01:25:00,999-999,127-743,I
02/04/2014,01:29:00,777-777,393-359,F
02/04/2014,01:40:00,888-888,290-129,F
02/04/2014,01:53:00,888-888,156-115,I
02/04/2014,01:59:00,999-999,127-743,F
02/04/2014,01:59:00,777-777,203-051,I
02/04/2014,02:13:00,777-777,203-051,F
02/04/2014,02:16:00,777-777,837-966,I
02/04/2014,02:53:00,888-888,156-115,F
02/04/2014,03:15:00,999-999,829-984,I
02/04/2014,03:21:00,999-999,829-984,F
02/04/2014,03:40:00,777-777,837-966,F
02/04/2014,03:53:00,777-777,761-931,I
02/04/2014,03:55:00,888-888,180-434,I
02/04/2014,04:16:00,999-999,527-735,I
02/04/2014,04:18:00,888-888,180-434,F
02/04/2014,04:19:00,777-777,761-931,F
02/04/2014,04:25:00,999-999,527-735,F
02/04/2014,04:31:00,888-888,133-919,I
02/04/2014,04:31:00,999-999,709-539,I
02/04/2014,04:32:00,888-888,133-919,F
02/04/2014,04:38:00,999-999,709-539,F
02/04/2014,04:43:00,777-777,186-069,I
02/04/2014,04:49:00,999-999,494-318,I
02/04/2014,04:49:00,888-888,468-349,I
02/04/2014,04:50:00,777-777,186-069,F
02/04/2014,04:57:00,777-777,133-919,I
02/04/2014,04:58:00,999-999,494-318,F
02/04/2014,05:03:00,888-888,468-349,F
02/04/2014,05:07:00,888-888,761-931,I
02/04/2014,05:15:00,777-777,133-919,F
02/04/2014,05:16:00,888-888,761-931,F
02/04/2014,05:24:00,888-888,837-966,I
02/04/2014,05:40:00,999-999,449-655,I
02/04/2014,05:41:00,999-999,449-655,F
02/04/2014,05:48:00,888-888,837-966,F
02/04/2014,05:49:00,777-777,676-556,I
02/04/2014,05:57:00,777-777,676-556,F
02/04/2014,06:00:00,777-777,664-435,I
02/04/2014,06:13:00,888-888,249-168,I
02/04/2014,06:14:00,777-777,664-435,F
02/04/2014,06:14:00,999-999,270-713,I
02/04/2014,06:26:00,888-888,249-168,F
02/04/2014,06:59:00,777-777,910-460,I
02/04/2014,07:14:00,999-999,270-713,F
02/04/2014,07:27:00,999-999,426-972,I
02/04/2014,07:44:00,777-777,910-460,F
02/04/2014,07:51:00,777-777,384-737,I
02/04/2014,08:12:00,999-999,426-972,F
02/04/2014,08:17:00,888-888,778-692,I
02/04/2014,08:33:00,999-999,836-032,I
02/04/2014,08:40:00,888-888,778-692,F
02/04/2014,08:58:00,777-777,384-737,F
02/04/2014,09:32:00,777-777,946-500,I
02/04/2014,09:35:00,777-777,946-500,F
02/04/2014,09:39:00,777-777,829-984,I
02/04/2014,09:50:00,777-777,829-984,F
02/04/2014,09:53:00,999-999,836-032,F
02/04/2014,09:57:00,999-999,521-151,I
02/04/2014,10:08:00,777-777,641-926,I
02/04/2014,10:18:00,777-777,641-926,F
02/04/2014,10:33:00,999-999,521-151,F
02/04/2014,10:38:00,777-777,700-151,I
02/04/2014,10:38:00,999-999,521-151,I
02/04/2014,10:42:00,999-999,521-151,F
02/04/2014,10:48:00,999-999,990-940,I
02/04/2014,10:48:00,777-777,700-151,F
02/04/2014,10:54:00,777-777,709-539,I
02/04/2014,11:01:00,888-888,276-237,I
02/04/2014,11:12:00,777-777,709-539,F
02/04/2014,11:22:00,777-777,131-864,I
02/04/2014,11:22:00,888-888,276-237,F
02/04/2014,11:45:00,777-777,131-864,F
02/04/2014,11:53:00,888-888,334-388,I
02/04/2014,11:54:00,888-888,334-388,F
02/04/2014,12:30:00,888-888,826-107,I
02/04/2014,12:40:00,888-888,826-107,F
02/04/2014,12:54:00,888-888,264-323,I
02/04/2014,12:58:00,999-999,990-940,F
02/04/2014,13:00:00,999-999,644-829,I
02/04/2014,13:29:00,888-888,264-323,F
02/04/2014,13:34:00,777-777,584-794,I
02/04/2014,13:41:00,999-999,644-829,F
02/04/2014,13:47:00,888-888,139-853,I
02/04/2014,13:57:00,777-777,584-794,F
02/04/2014,13:57:00,999-999,962-084,I
02/04/2014,13:59:00,888-888,139-853,F
02/04/2014,14:15:00,777-777,249-168,I
02/04/2014,14:20:00,777-777,249-168,F
02/04/2014,14:23:00,888-888,711-811,I
02/04/2014,14:38:00,999-999,962-084,F
02/04/2014,14:40:00,888-888,711-811,F
02/04/2014,14:43:00,888-888,309-289,I
02/04/2014,14:43:00,777-777,730-977,I
02/04/2014,14:53:00,999-999,315-664,I
02/04/2014,15:07:00,777-777,730-977,F
02/04/2014,15:36:00,999-999,315-664,F
02/04/2014,15:40:00,777-777,566-456,I
02/04/2014,16:09:00,888-888,309-289,F
02/04/2014,16:10:00,888-888,156-115,I
02/04/2014,16:12:00,777-777,566-456,F
02/04/2014,16:30:00,999-999,102-704,I
02/04/2014,16:55:00,999-999,102-704,F
02/04/2014,16:56:00,999-999,264-323,I
02/04/2014,17:09:00,888-888,156-115,F
02/04/2014,17:10:00,777-777,524-351,I
02/04/2014,17:13:00,777-777,524-351,F
02/04/2014,17:14:00,999-999,264-323,F
02/04/2014,17:31:00,777-777,449-580,I
02/04/2014,17:41:00,999-999,460-290,I
02/04/2014,18:02:00,999-999,460-290,F
02/04/2014,18:21:00,888-888,249-168,I
02/04/2014,18:33:00,999-999,705-911,I
02/04/2014,18:35:00,888-888,249-168,F
02/04/2014,18:40:00,777-777,449-580,F
02/04/2014,18:52:00,777-777,606-969,I
02/04/2014,19:00:00,888-888,524-351,I
02/04/2014,19:01:00,777-777,606-969,F
02/04/2014,19:06:00,888-888,524-351,F
02/04/2014,19:18:00,777-777,394-441,I
02/04/2014,20:05:00,888-888,422-699,I
02/04/2014,20:09:00,888-888,422-699,F
02/04/2014,20:12:00,888-888,778-383,I
02/04/2014,20:32:00,888-888,778-383,F
02/04/2014,20:48:00,888-888,276-237,I
02/04/2014,21:17:00,999-999,705-911,F
02/04/2014,21:23:00,999-999,437-032,I
02/04/2014,21:41:00,888-888,276-237,F
02/04/2014,21:42:00,999-999,437-032,F
02/04/2014,21:44:00,777-777,394-441,F
02/04/2014,21:45:00,777-777,354-512,I
02/04/2014,21:53:00,777-777,354-512,F
02/04/2014,22:03:00,777-777,778-692,I
02/04/2014,22:49:00,999-999,853-439,I
02/04/2014,23:06:00,888-888,468-349,I
02/04/2014,23:19:00,999-999,853-439,F
02/04/2014,23:21:00,888-888,468-349,F
02/04/2014,23:27:00,777-777,778-692,F
02/04/2014,23:30:00,777-777,131-864,I
02/04/2014,23:55:00,888-888,358-198,I
03/04/2014,00:14:00,888-888,358-198,F
03/04/2014,00:30:00,777-777,131-864,F
03/04/2014,00:40:00,777-777,220-106,I
03/04/2014,00:43:00,777-777,220-106,F
03/04/2014,00:51:00,999-999,560-747,I
03/04/2014,00:53:00,777-777,638-077,I
03/04/2014,00:56:00,999-999,560-747,F
03/04/2014,00:58:00,888-888,133-919,I
03/04/2014,01:12:00,777-777,638-077,F
03/04/2014,01:33:00,999-999,645-289,I
03/04/2014,01:44:00,777-777,651-336,I
03/04/2014,01:53:00,777-777,651-336,F
03/04/2014,01:58:00,888-888,133-919,F
03/04/2014,02:42:00,888-888,569-307,I
03/04/2014,02:46:00,888-888,569-307,F
03/04/2014,03:14:00,777-777,102-704,I
03/04/2014,03:18:00,777-777,102-704,F
03/04/2014,03:23:00,888-888,530-135,I
03/04/2014,03:28:00,999-999,645-289,F
03/04/2014,03:38:00,777-777,479-476,I
03/04/2014,03:46:00,888-888,530-135,F
03/04/2014,03:55:00,777-777,479-476,F
03/04/2014,04:00:00,888-888,276-237,I
03/04/2014,04:09:00,888-888,276-237,F
03/04/2014,04:20:00,777-777,910-460,I
03/04/2014,04:21:00,888-888,860-973,I
03/04/2014,04:47:00,777-777,910-460,F
03/04/2014,04:57:00,888-888,860-973,F
03/04/2014,05:00:00,888-888,952-129,I
03/04/2014,05:18:00,888-888,952-129,F
03/04/2014,05:25:00,777-777,368-095,I
03/04/2014,05:43:00,888-888,479-476,I
03/04/2014,05:45:00,777-777,368-095,F
03/04/2014,05:49:00,888-888,479-476,F
03/04/2014,06:15:00,777-777,946-500,I
03/04/2014,06:33:00,777-777,946-500,F
03/04/2014,06:34:00,999-999,460-290,I
03/04/2014,06:48:00,888-888,479-476,I
03/04/2014,06:52:00,777-777,638-233,I
03/04/2014,06:55:00,999-999,460-290,F
03/04/2014,07:15:00,999-999,523-638,I
03/04/2014,07:16:00,999-999,523-638,F
03/04/2014,07:25:00,999-999,180-434,I
03/04/2014,07:26:00,777-777,638-233,F
03/04/2014,07:38:00,888-888,479-476,F
03/04/2014,07:48:00,999-999,180-434,F
03/04/2014,07:49:00,777-777,290-129,I
03/04/2014,07:58:00,777-777,290-129,F
03/04/2014,08:06:00,888-888,830-719,I
03/04/2014,08:09:00,999-999,362-450,I
03/04/2014,08:26:00,888-888,830-719,F
03/04/2014,08:30:00,999-999,362-450,F
03/04/2014,08:57:00,888-888,393-359,I
03/04/2014,08:59:00,999-999,460-290,I
03/04/2014,09:12:00,999-999,460-290,F
03/04/2014,09:20:00,999-999,814-087,I
03/04/2014,09:24:00,777-777,729-133,I
03/04/2014,09:33:00,999-999,814-087,F
03/04/2014,09:35:00,777-777,729-133,F
03/04/2014,09:37:00,777-777,511-261,I
03/04/2014,09:43:00,777-777,511-261,F
03/04/2014,09:57:00,999-999,860-973,I
03/04/2014,10:00:00,888-888,393-359,F
03/04/2014,10:05:00,777-777,638-233,I
03/04/2014,10:07:00,888-888,812-548,I
03/04/2014,10:19:00,777-777,638-233,F
03/04/2014,10:42:00,777-777,523-638,I
03/04/2014,10:45:00,777-777,523-638,F
03/04/2014,11:08:00,999-999,860-973,F
03/04/2014,11:23:00,888-888,812-548,F
03/04/2014,11:38:00,999-999,133-919,I
03/04/2014,11:42:00,999-999,133-919,F
03/04/2014,11:42:00,777-777,651-336,I
03/04/2014,11:54:00,999-999,276-237,I
03/04/2014,11:57:00,999-999,276-237,F
03/04/2014,11:59:00,999-999,895-483,I
03/04/2014,12:13:00,999-999,895-483,F
03/04/2014,12:21:00,777-777,651-336,F
03/04/2014,12:27:00,777-777,830-001,I
03/04/2014,12:37:00,888-888,393-359,I
03/04/2014,12:38:00,888-888,393-359,F
03/04/2014,12:40:00,888-888,205-205,I
03/04/2014,12:55:00,777-777,830-001,F
03/04/2014,13:02:00,888-888,205-205,F
03/04/2014,13:26:00,999-999,711-811,I
03/04/2014,13:29:00,777-777,709-539,I
03/04/2014,13:32:00,888-888,676-556,I
03/04/2014,13:37:00,999-999,711-811,F
03/04/2014,13:49:00,888-888,676-556,F
03/04/2014,13:55:00,888-888,644-829,I
03/04/2014,13:56:00,888-888,644-829,F
03/04/2014,14:02:00,999-999,460-290,I
03/04/2014,14:04:00,999-999,460-290,F
03/04/2014,14:29:00,999-999,468-349,I
03/04/2014,14:41:00,999-999,468-349,F
03/04/2014,15:00:00,888-888,990-940,I
03/04/2014,15:04:00,777-777,709-539,F
03/04/2014,15:20:00,888-888,990-940,F
03/04/2014,15:32:00,777-777,175-794,I
03/04/2014,16:04:00,777-777,175-794,F
03/04/2014,16:23:00,777-777,700-151,I
03/04/2014,16:27:00,999-999,638-077,I
03/04/2014,16:35:00,777-777,700-151,F
03/04/2014,16:38:00,999-999,638-077,F
03/04/2014,16:44:00,888-888,437-032,I
03/04/2014,16:46:00,777-777,215-621,I
03/04/2014,16:49:00,777-777,215-621,F
03/04/2014,16:54:00,999-999,368-095,I
03/04/2014,16:57:00,888-888,437-032,F
03/04/2014,16:58:00,888-888,156-115,I
03/04/2014,17:06:00,888-888,156-115,F
03/04/2014,17:12:00,777-777,205-205,I
03/04/2014,17:32:00,777-777,205-205,F
03/04/2014,17:45:00,999-999,368-095,F
03/04/2014,17:46:00,888-888,449-580,I
03/04/2014,17:58:00,999-999,834-103,I
03/04/2014,18:03:00,888-888,449-580,F
03/04/2014,18:06:00,999-999,834-103,F
03/04/2014,18:14:00,888-888,131-864,I
03/04/2014,18:18:00,888-888,131-864,F
03/04/2014,18:30:00,777-777,910-460,I
03/04/2014,18:35:00,777-777,910-460,F
03/04/2014,18:37:00,999-999,837-966,I
03/04/2014,18:45:00,777-777,180-434,I
03/04/2014,18:45:00,777-777,180-434,F
03/04/2014,18:51:00,888-888,243-240,I
03/04/2014,18:56:00,999-999,837-966,F
03/04/2014,19:22:00,777-777,470-128,I
03/04/2014,19:23:00,777-777,470-128,F
03/04/2014,19:40:00,777-777,566-456,I
03/04/2014,19:50:00,888-888,243-240,F
03/04/2014,19:53:00,999-999,290-129,I
03/04/2014,20:09:00,999-999,290-129,F
03/04/2014,20:15:00,888-888,761-931,I
03/04/2014,20:16:00,999-999,540-451,I
03/04/2014,20:20:00,999-999,540-451,F
03/04/2014,20:28:00,888-888,761-931,F
03/04/2014,20:31:00,888-888,523-638,I
03/04/2014,20:35:00,888-888,523-638,F
03/04/2014,20:36:00,999-999,668-901,I
03/04/2014,20:37:00,999-999,668-901,F
03/04/2014,20:52:00,777-777,566-456,F
03/04/2014,20:55:00,777-777,449-655,I
03/04/2014,21:11:00,999-999,830-719,I
03/04/2014,21:13:00,888-888,545-330,I
03/04/2014,21:17:00,777-777,449-655,F
03/04/2014,21:41:00,777-777,799-963,I
03/04/2014,21:43:00,999-999,830-719,F
03/04/2014,21:48:00,777-777,799-963,F
03/04/2014,22:05:00,999-999,778-692,I
03/04/2014,22:06:00,999-999,778-692,F
03/04/2014,22:12:00,777-777,744-955,I
03/04/2014,22:12:00,888-888,545-330,F
03/04/2014,22:18:00,888-888,102-704,I
03/04/2014,22:42:00,777-777,744-955,F
03/04/2014,22:49:00,888-888,102-704,F
03/04/2014,23:03:00,999-999,645-289,I
03/04/2014,23:07:00,777-777,511-261,I
03/04/2014,23:15:00,888-888,477-266,I
03/04/2014,23:21:00,777-777,511-261,F
03/04/2014,23:39:00,888-888,477-266,F
03/04/2014,23:42:00,777-777,828-423,I
03/04/2014,23:55:00,777-777,828-423,F
03/04/2014,23:58:00,999-999,645-289,F
04/04/2014,00:10:00,999-999,566-456,I
04/04/2014,00:48:00,888-888,728-994,I
04/04/2014,00:58:00,999-999,566-456,F
04/04/2014,00:59:00,888-888,728-994,F
04/04/2014,01:01:00,777-777,426-972,I
04/04/2014,01:19:00,777-777,426-972,F
04/04/2014,01:24:00,999-999,774-014,I
04/04/2014,01:28:00,888-888,736-976,I
04/04/2014,01:34:00,777-777,128-973,I
04/04/2014,01:34:00,777-777,128-973,F
04/04/2014,01:51:00,888-888,736-976,F
04/04/2014,01:59:00,888-888,560-747,I
04/04/2014,02:01:00,999-999,774-014,F
04/04/2014,02:06:00,999-999,180-434,I
04/04/2014,02:13:00,888-888,560-747,F
04/04/2014,02:26:00,777-777,765-650,I
04/04/2014,02:51:00,999-999,180-434,F
04/04/2014,03:06:00,999-999,834-103,I
04/04/2014,03:26:00,999-999,834-103,F
04/04/2014,03:30:00,999-999,828-423,I
04/04/2014,03:35:00,777-777,765-650,F
04/04/2014,03:41:00,999-999,828-423,F
04/04/2014,03:46:00,777-777,664-435,I
04/04/2014,03:57:00,888-888,853-439,I
04/04/2014,04:00:00,777-777,664-435,F
04/04/2014,04:06:00,999-999,139-853,I
04/04/2014,04:10:00,999-999,139-853,F
04/04/2014,04:24:00,999-999,569-307,I
04/04/2014,04:25:00,999-999,569-307,F
04/04/2014,04:59:00,888-888,853-439,F
04/04/2014,05:22:00,888-888,185-652,I
04/04/2014,05:26:00,777-777,799-963,I
04/04/2014,05:36:00,888-888,185-652,F
04/04/2014,05:48:00,888-888,962-084,I
04/04/2014,05:48:00,888-888,962-084,F
04/04/2014,05:49:00,777-777,799-963,F
04/04/2014,05:56:00,999-999,566-456,I
04/04/2014,05:59:00,999-999,566-456,F
04/04/2014,06:02:00,777-777,362-450,I
04/04/2014,06:05:00,999-999,102-704,I
04/04/2014,06:35:00,999-999,102-704,F
04/04/2014,06:40:00,777-777,362-450,F
04/04/2014,06:46:00,888-888,215-621,I
04/04/2014,06:59:00,777-777,962-084,I
04/04/2014,07:03:00,888-888,215-621,F
04/04/2014,07:10:00,777-777,962-084,F
04/04/2014,07:37:00,999-999,598-558,I
04/04/2014,07:40:00,888-888,203-051,I
04/04/2014,07:43:00,999-999,598-558,F
04/04/2014,07:43:00,888-888,203-051,F
04/04/2014,07:45:00,999-999,812-548,I
04/04/2014,07:55:00,999-999,812-548,F
04/04/2014,07:57:00,888-888,638-077,I
04/04/2014,08:01:00,999-999,347-222,I
04/04/2014,08:11:00,888-888,638-077,F
04/04/2014,08:30:00,777-777,127-743,I
04/04/2014,08:36:00,777-777,127-743,F
04/04/2014,08:52:00,888-888,853-439,I
04/04/2014,09:00:00,888-888,853-439,F
04/04/2014,09:24:00,999-999,347-222,F
04/04/2014,09:30:00,777-777,598-558,I
04/04/2014,09:33:00,888-888,550-515,I
04/04/2014,09:50:00,777-777,598-558,F
04/04/2014,09:55:00,777-777,734-320,I
04/04/2014,09:59:00,777-777,734-320,F
04/04/2014,10:01:00,777-777,295-838,I
04/04/2014,10:16:00,888-888,550-515,F
04/04/2014,10:16:00,777-777,295-838,F
04/04/2014,10:23:00,999-999,286-218,I
04/04/2014,10:23:00,777-777,584-794,I
04/04/2014,10:25:00,999-999,286-218,F
04/04/2014,10:25:00,999-999,953-940,I
04/04/2014,10:52:00,888-888,524-351,I
04/04/2014,10:57:00,999-999,953-940,F
04/04/2014,10:59:00,777-777,584-794,F
04/04/2014,11:19:00,888-888,524-351,F
04/04/2014,11:33:00,777-777,511-261,I
04/04/2014,11:34:00,999-999,315-664,I
04/04/2014,11:40:00,888-888,460-290,I
04/04/2014,11:48:00,777-777,511-261,F
04/04/2014,11:51:00,999-999,315-664,F
04/04/2014,12:02:00,888-888,460-290,F
04/04/2014,12:20:00,999-999,393-359,I
04/04/2014,12:20:00,888-888,358-198,I
04/04/2014,12:28:00,999-999,393-359,F
04/04/2014,12:39:00,888-888,358-198,F
04/04/2014,12:41:00,888-888,220-106,I
04/04/2014,13:07:00,999-999,449-655,I
04/04/2014,13:10:00,888-888,220-106,F
04/04/2014,13:27:00,888-888,527-735,I
04/04/2014,13:50:00,999-999,449-655,F
04/04/2014,14:00:00,777-777,700-151,I
04/04/2014,14:01:00,999-999,309-289,I
04/04/2014,14:02:00,999-999,309-289,F
04/04/2014,14:04:00,777-777,700-151,F
04/04/2014,14:08:00,888-888,527-735,F
04/04/2014,14:11:00,777-777,127-743,I
04/04/2014,14:15:00,999-999,479-476,I
04/04/2014,14:16:00,888-888,477-266,I
04/04/2014,14:17:00,999-999,479-476,F
04/04/2014,14:22:00,999-999,774-014,I
04/04/2014,14:40:00,999-999,774-014,F
04/04/2014,14:49:00,888-888,477-266,F
04/04/2014,15:25:00,777-777,127-743,F
04/04/2014,15:34:00,999-999,668-901,I
04/04/2014,15:44:00,777-777,706-375,I
04/04/2014,15:45:00,777-777,706-375,F
04/04/2014,15:51:00,777-777,853-439,I
04/04/2014,16:11:00,888-888,484-815,I
04/04/2014,16:30:00,999-999,668-901,F
04/04/2014,16:33:00,999-999,203-051,I
04/04/2014,16:48:00,999-999,203-051,F
04/04/2014,16:51:00,999-999,180-434,I
04/04/2014,16:55:00,888-888,484-815,F
04/04/2014,16:56:00,888-888,736-976,I
04/04/2014,17:01:00,888-888,736-976,F
04/04/2014,17:30:00,888-888,511-261,I
04/04/2014,17:34:00,888-888,511-261,F
04/04/2014,17:41:00,888-888,203-051,I
04/04/2014,18:26:00,999-999,180-434,F
04/04/2014,18:39:00,777-777,853-439,F
04/04/2014,18:40:00,777-777,530-135,I
04/04/2014,18:59:00,888-888,203-051,F
04/04/2014,19:19:00,777-777,530-135,F
04/04/2014,19:20:00,999-999,441-856,I
04/04/2014,19:42:00,777-777,518-403,I
04/04/2014,19:42:00,777-777,518-403,F
04/04/2014,19:57:00,999-999,441-856,F
04/04/2014,19:57:00,999-999,415-119,I
04/04/2014,20:01:00,888-888,569-307,I
04/04/2014,20:03:00,999-999,415-119,F
04/04/2014,20:14:00,888-888,569-307,F
04/04/2014,20:17:00,888-888,170-652,I
04/04/2014,20:37:00,999-999,386-800,I
04/04/2014,21:01:00,777-777,778-692,I
04/04/2014,21:02:00,777-777,778-692,F
04/04/2014,21:05:00,999-999,386-800,F
04/04/2014,21:06:00,777-777,853-439,I
04/04/2014,21:09:00,888-888,170-652,F
04/04/2014,21:15:00,999-999,156-115,I
