DIA,MES,ANO,HORA,MINUTO,ORIGEM,DESTINO,DESTINO,
2,4,2014,4,49,888-888,468-349,468-349,I
2,4,2014,4,50,777-777,676-556,186-069,F
2,4,2014,4,57,777-777,133-919,133-919,I
2,4,2014,4,58,999-999,203-051,494-318,F
2,4,2014,5,3,888-888,422-699,468-349,F
2,4,2014,5,7,888-888,761-931,761-931,I
2,4,2014,5,15,777-777,638-077,133-919,F
2,4,2014,5,16,888-888,394-441,761-931,F
2,4,2014,5,24,888-888,837-966,837-966,I
2,4,2014,5,40,999-999,449-655,449-655,I
2,4,2014,5,41,999-999,415-119,449-655,F
2,4,2014,5,48,888-888,638-233,837-966,F
2,4,2014,5,49,777-777,676-556,676-556,I
2,4,2014,5,57,777-777,645-289,676-556,F
2,4,2014,6,0,777-777,664-435,664-435,I
2,4,2014,6,13,888-888,249-168,249-168,I
2,4,2014,6,14,777-777,659-340,664-435,F
2,4,2014,6,14,999-999,270-713,270-713,I
2,4,2014,6,26,888-888,830-001,249-168,F
2,4,2014,6,59,777-777,910-460,910-460,I
2,4,2014,7,14,999-999,494-318,270-713,F
2,4,2014,7,27,999-999,426-972,426-972,I
2,4,2014,7,44,777-777,876-218,910-460,F
2,4,2014,7,51,777-777,384-737,384-737,I
2,4,2014,8,12,999-999,664-435,426-972,F
2,4,2014,8,17,888-888,778-692,778-692,I
2,4,2014,8,33,999-999,836-032,836-032,I
2,4,2014,8,40,888-888,139-853,778-692,F
2,4,2014,8,58,777-777,693-046,384-737,F
2,4,2014,9,32,777-777,946-500,946-500,I
2,4,2014,9,35,777-777,426-972,946-500,F
2,4,2014,9,39,777-777,829-984,829-984,I
2,4,2014,9,50,777-777,774-014,829-984,F
2,4,2014,9,53,999-999,276-237,836-032,F
2,4,2014,9,57,999-999,521-151,521-151,I
2,4,2014,10,8,777-777,641-926,641-926,I
2,4,2014,10,18,777-777,828-423,641-926,F
2,4,2014,10,33,999-999,243-240,521-151,F
2,4,2014,10,38,777-777,700-151,700-151,I
2,4,2014,10,38,999-999,521-151,521-151,I
2,4,2014,10,42,999-999,096-996,521-151,F
2,4,2014,10,48,999-999,990-940,990-940,I
2,4,2014,10,48,777-777,347-222,700-151,F
2,4,2014,10,54,777-777,709-539,709-539,I
2,4,2014,11,1,888-888,276-237,276-237,I
2,4,2014,11,12,777-777,606-969,709-539,F
2,4,2014,11,22,777-777,131-864,131-864,I
2,4,2014,11,22,888-888,270-713,276-237,F
2,4,2014,11,45,777-777,449-580,131-864,F
2,4,2014,11,53,888-888,334-388,334-388,I
2,4,2014,11,54,888-888,860-973,334-388,F
2,4,2014,12,30,888-888,826-107,826-107,I
2,4,2014,12,40,888-888,693-046,826-107,F
2,4,2014,12,54,888-888,264-323,264-323,I
2,4,2014,12,58,999-999,778-383,990-940,F
2,4,2014,13,0,999-999,644-829,644-829,I
2,4,2014,13,29,888-888,962-084,264-323,F
2,4,2014,13,34,777-777,584-794,584-794,I
2,4,2014,13,41,999-999,853-439,644-829,F
2,4,2014,13,47,888-888,139-853,139-853,I
2,4,2014,13,57,777-777,709-539,584-794,F
2,4,2014,13,57,999-999,962-084,962-084,I
2,4,2014,13,59,888-888,362-450,139-853,F
2,4,2014,14,15,777-777,249-168,249-168,I
2,4,2014,14,20,777-777,170-652,249-168,F
2,4,2014,14,23,888-888,711-811,711-811,I
2,4,2014,14,38,999-999,148-880,962-084,F
2,4,2014,14,40,888-888,414-720,711-811,F
2,4,2014,14,43,888-888,309-289,309-289,I
2,4,2014,14,43,777-777,730-977,730-977,I
2,4,2014,14,53,999-999,315-664,315-664,I
2,4,2014,15,7,777-777,524-351,730-977,F
2,4,2014,15,36,999-999,420-586,315-664,F
2,4,2014,15,40,777-777,566-456,566-456,I
2,4,2014,16,9,888-888,129-360,309-289,F
2,4,2014,16,10,888-888,156-115,156-115,I
2,4,2014,16,12,777-777,659-340,566-456,F
2,4,2014,16,30,999-999,102-704,102-704,I
2,4,2014,16,55,999-999,290-129,102-704,F
2,4,2014,16,56,999-999,264-323,264-323,I
2,4,2014,17,9,888-888,644-829,156-115,F
2,4,2014,17,10,777-777,524-351,524-351,I
2,4,2014,17,13,777-777,910-460,524-351,F
2,4,2014,17,14,999-999,651-336,264-323,F
2,4,2014,17,31,777-777,449-580,449-580,I
2,4,2014,17,41,999-999,460-290,460-290,I
2,4,2014,18,2,999-999,175-794,460-290,F
2,4,2014,18,21,888-888,249-168,249-168,I
2,4,2014,18,33,999-999,705-911,705-911,I
2,4,2014,18,35,888-888,139-853,249-168,F
2,4,2014,18,40,777-777,148-880,449-580,F
2,4,2014,18,52,777-777,606-969,606-969,I
2,4,2014,19,0,888-888,524-351,524-351,I
2,4,2014,19,1,777-777,560-747,606-969,F
2,4,2014,19,6,888-888,286-218,524-351,F
2,4,2014,19,18,777-777,394-441,394-441,I
2,4,2014,20,5,888-888,422-699,422-699,I
2,4,2014,20,9,888-888,667-741,422-699,F
2,4,2014,20,12,888-888,778-383,778-383,I
2,4,2014,20,32,888-888,521-151,778-383,F
2,4,2014,20,48,888-888,276-237,276-237,I
2,4,2014,21,17,999-999,826-107,705-911,F
2,4,2014,21,23,999-999,437-032,437-032,I
2,4,2014,21,41,888-888,914-310,276-237,F
2,4,2014,21,42,999-999,110-733,437-032,F
2,4,2014,21,44,777-777,566-456,394-441,F
2,4,2014,21,45,777-777,354-512,354-512,I
2,4,2014,21,53,777-777,334-388,354-512,F
2,4,2014,22,3,777-777,778-692,778-692,I
2,4,2014,22,49,999-999,853-439,853-439,I
2,4,2014,23,6,888-888,468-349,468-349,I
2,4,2014,23,19,999-999,249-168,853-439,F
2,4,2014,23,21,888-888,953-940,468-349,F
2,4,2014,23,27,777-777,384-737,778-692,F
2,4,2014,23,30,777-777,131-864,131-864,I
2,4,2014,23,55,888-888,358-198,358-198,I
3,4,2014,0,14,888-888,518-403,358-198,F
3,4,2014,0,30,777-777,850-469,131-864,F
3,4,2014,0,40,777-777,220-106,220-106,I
3,4,2014,0,43,777-777,110-733,220-106,F
3,4,2014,0,51,999-999,560-747,560-747,I
3,4,2014,0,53,777-777,638-077,638-077,I
3,4,2014,0,56,999-999,264-323,560-747,F
3,4,2014,0,58,888-888,133-919,133-919,I
3,4,2014,1,12,777-777,309-289,638-077,F
3,4,2014,1,33,999-999,645-289,645-289,I
3,4,2014,1,44,777-777,651-336,651-336,I
3,4,2014,1,53,777-777,437-032,651-336,F
3,4,2014,1,58,888-888,850-469,133-919,F
3,4,2014,2,42,888-888,569-307,569-307,I
3,4,2014,2,46,888-888,422-699,569-307,F
3,4,2014,3,14,777-777,102-704,102-704,I
3,4,2014,3,18,777-777,990-940,102-704,F
3,4,2014,3,23,888-888,530-135,530-135,I
3,4,2014,3,28,999-999,468-349,645-289,F
3,4,2014,3,38,777-777,479-476,479-476,I
3,4,2014,3,46,888-888,434-112,530-135,F
3,4,2014,3,55,777-777,706-375,479-476,F
3,4,2014,4,0,888-888,276-237,276-237,I
3,4,2014,4,9,888-888,711-811,276-237,F
3,4,2014,4,20,777-777,910-460,910-460,I
3,4,2014,4,21,888-888,860-973,860-973,I
3,4,2014,4,47,777-777,540-451,910-460,F
3,4,2014,4,57,888-888,638-233,860-973,F
3,4,2014,5,0,888-888,952-129,952-129,I
3,4,2014,5,18,888-888,096-996,952-129,F
3,4,2014,5,25,777-777,368-095,368-095,I
3,4,2014,5,43,888-888,479-476,479-476,I
3,4,2014,5,45,777-777,876-218,368-095,F
3,4,2014,5,49,888-888,347-222,479-476,F
3,4,2014,6,15,777-777,946-500,946-500,I
3,4,2014,6,33,777-777,102-704,946-500,F
3,4,2014,6,34,999-999,460-290,460-290,I
3,4,2014,6,48,888-888,479-476,479-476,I
3,4,2014,6,52,777-777,638-233,638-233,I
3,4,2014,6,55,999-999,705-911,460-290,F
3,4,2014,7,15,999-999,523-638,523-638,I
3,4,2014,7,16,999-999,192-992,523-638,F
3,4,2014,7,25,999-999,180-434,180-434,I
3,4,2014,7,26,777-777,437-032,638-233,F
3,4,2014,7,38,888-888,734-320,479-476,F
3,4,2014,7,48,999-999,693-046,180-434,F
3,4,2014,7,49,777-777,290-129,290-129,I
3,4,2014,7,58,777-777,276-237,290-129,F
3,4,2014,8,6,888-888,830-719,830-719,I
3,4,2014,8,9,999-999,362-450,362-450,I
3,4,2014,8,26,888-888,394-441,830-719,F
3,4,2014,8,30,999-999,215-621,362-450,F
3,4,2014,8,57,888-888,393-359,393-359,I
3,4,2014,8,59,999-999,460-290,460-290,I
3,4,2014,9,12,999-999,876-218,460-290,F
3,4,2014,9,20,999-999,814-087,814-087,I
3,4,2014,9,24,777-777,729-133,729-133,I
3,4,2014,9,33,999-999,264-323,814-087,F
3,4,2014,9,35,777-777,689-975,729-133,F
3,4,2014,9,37,777-777,511-261,511-261,I
3,4,2014,9,43,777-777,711-811,511-261,F
3,4,2014,9,57,999-999,860-973,860-973,I
3,4,2014,10,0,888-888,554-823,393-359,F
3,4,2014,10,5,777-777,638-233,638-233,I
3,4,2014,10,7,888-888,812-548,812-548,I
3,4,2014,10,19,777-777,850-469,638-233,F
3,4,2014,10,42,777-777,523-638,523-638,I
3,4,2014,10,45,777-777,139-853,523-638,F
3,4,2014,11,8,999-999,203-051,860-973,F
3,4,2014,11,23,888-888,354-512,812-548,F
3,4,2014,11,38,999-999,133-919,133-919,I
3,4,2014,11,42,999-999,700-151,133-919,F
3,4,2014,11,42,777-777,651-336,651-336,I
3,4,2014,11,54,999-999,276-237,276-237,I
3,4,2014,11,57,999-999,203-051,276-237,F
3,4,2014,11,59,999-999,895-483,895-483,I
3,4,2014,12,13,999-999,374-261,895-483,F
3,4,2014,12,21,777-777,736-976,651-336,F
3,4,2014,12,27,777-777,830-001,830-001,I
3,4,2014,12,37,888-888,393-359,393-359,I
3,4,2014,12,38,888-888,641-895,393-359,F
3,4,2014,12,40,888-888,205-205,205-205,I
3,4,2014,12,55,777-777,362-450,830-001,F
3,4,2014,13,2,888-888,641-926,205-205,F
3,4,2014,13,26,999-999,711-811,711-811,I
3,4,2014,13,29,777-777,709-539,709-539,I
3,4,2014,13,32,888-888,676-556,676-556,I
3,4,2014,13,37,999-999,566-456,711-811,F
3,4,2014,13,49,888-888,449-655,676-556,F
3,4,2014,13,55,888-888,644-829,644-829,I
3,4,2014,13,56,888-888,990-940,644-829,F
3,4,2014,14,2,999-999,460-290,460-290,I
3,4,2014,14,4,999-999,651-336,460-290,F
3,4,2014,14,29,999-999,468-349,468-349,I
3,4,2014,14,41,999-999,910-460,468-349,F
3,4,2014,15,0,888-888,990-940,990-940,I
3,4,2014,15,4,777-777,644-829,709-539,F
3,4,2014,15,20,888-888,295-838,990-940,F
3,4,2014,15,32,777-777,175-794,175-794,I
3,4,2014,16,4,777-777,814-087,175-794,F
3,4,2014,16,23,777-777,700-151,700-151,I
3,4,2014,16,27,999-999,638-077,638-077,I
3,4,2014,16,35,777-777,554-823,700-151,F
3,4,2014,16,38,999-999,470-128,638-077,F
3,4,2014,16,44,888-888,437-032,437-032,I
3,4,2014,16,46,777-777,215-621,215-621,I
3,4,2014,16,49,777-777,290-129,215-621,F
3,4,2014,16,54,999-999,368-095,368-095,I
3,4,2014,16,57,888-888,426-972,437-032,F
3,4,2014,16,58,888-888,156-115,156-115,I
3,4,2014,17,6,888-888,518-403,156-115,F
3,4,2014,17,12,777-777,205-205,205-205,I
3,4,2014,17,32,777-777,133-919,205-205,F
3,4,2014,17,45,999-999,860-973,368-095,F
3,4,2014,17,46,888-888,449-580,449-580,I
3,4,2014,17,58,999-999,834-103,834-103,I
3,4,2014,18,3,888-888,853-439,449-580,F
3,4,2014,18,6,999-999,730-977,834-103,F
3,4,2014,18,14,888-888,131-864,131-864,I
3,4,2014,18,18,888-888,560-747,131-864,F
3,4,2014,18,30,777-777,910-460,910-460,I
3,4,2014,18,35,777-777,479-476,910-460,F
3,4,2014,18,37,999-999,837-966,837-966,I
3,4,2014,18,45,777-777,180-434,180-434,I
3,4,2014,18,45,777-777,837-966,180-434,F
3,4,2014,18,51,888-888,243-240,243-240,I
3,4,2014,18,56,999-999,705-911,837-966,F
3,4,2014,19,22,777-777,470-128,470-128,I
3,4,2014,19,23,777-777,518-403,470-128,F
3,4,2014,19,40,777-777,566-456,566-456,I
3,4,2014,19,50,888-888,170-652,243-240,F
3,4,2014,19,53,999-999,290-129,290-129,I
3,4,2014,20,9,999-999,569-307,290-129,F
3,4,2014,20,15,888-888,761-931,761-931,I
3,4,2014,20,16,999-999,540-451,540-451,I
3,4,2014,20,20,999-999,530-135,540-451,F
3,4,2014,20,28,888-888,702-839,761-931,F
3,4,2014,20,31,888-888,523-638,523-638,I
3,4,2014,20,35,888-888,705-911,523-638,F
3,4,2014,20,36,999-999,668-901,668-901,I
3,4,2014,20,37,999-999,518-403,668-901,F
3,4,2014,20,52,777-777,774-014,566-456,F
3,4,2014,20,55,777-777,449-655,449-655,I
3,4,2014,21,11,999-999,830-719,830-719,I
3,4,2014,21,13,888-888,545-330,545-330,I
3,4,2014,21,17,777-777,540-451,449-655,F
3,4,2014,21,41,777-777,799-963,799-963,I
3,4,2014,21,43,999-999,540-451,830-719,F
3,4,2014,21,48,777-777,347-222,799-963,F
3,4,2014,22,5,999-999,778-692,778-692,I
3,4,2014,22,6,999-999,139-853,778-692,F
3,4,2014,22,12,777-777,744-955,744-955,I
3,4,2014,22,12,888-888,828-423,545-330,F
3,4,2014,22,18,888-888,102-704,102-704,I
3,4,2014,22,42,777-777,102-704,744-955,F
3,4,2014,22,49,888-888,860-973,102-704,F
3,4,2014,23,3,999-999,645-289,645-289,I
3,4,2014,23,7,777-777,511-261,511-261,I
3,4,2014,23,15,888-888,477-266,477-266,I
3,4,2014,23,21,777-777,894-693,511-261,F
3,4,2014,23,39,888-888,638-233,477-266,F
3,4,2014,23,42,777-777,828-423,828-423,I
3,4,2014,23,55,777-777,730-977,828-423,F
3,4,2014,23,58,999-999,468-349,645-289,F
4,4,2014,0,10,999-999,566-456,566-456,I
4,4,2014,0,48,888-888,728-994,728-994,I
4,4,2014,0,58,999-999,441-856,566-456,F
4,4,2014,0,59,888-888,470-128,728-994,F
4,4,2014,1,1,777-777,426-972,426-972,I
4,4,2014,1,19,777-777,664-435,426-972,F
4,4,2014,1,24,999-999,774-014,774-014,I
4,4,2014,1,28,888-888,736-976,736-976,I
4,4,2014,1,34,777-777,128-973,128-973,I
4,4,2014,1,34,777-777,606-969,128-973,F
4,4,2014,1,51,888-888,437-032,736-976,F
4,4,2014,1,59,888-888,560-747,560-747,I
4,4,2014,2,1,999-999,180-434,774-014,F
4,4,2014,2,6,999-999,180-434,180-434,I
4,4,2014,2,13,888-888,468-349,560-747,F
4,4,2014,2,26,777-777,765-650,765-650,I
4,4,2014,2,51,999-999,894-693,180-434,F
4,4,2014,3,6,999-999,834-103,834-103,I
4,4,2014,3,26,999-999,946-500,834-103,F
4,4,2014,3,30,999-999,828-423,828-423,I
4,4,2014,3,35,777-777,386-800,765-650,F
4,4,2014,3,41,999-999,910-460,828-423,F
4,4,2014,3,46,777-777,664-435,664-435,I
4,4,2014,3,57,888-888,853-439,853-439,I
4,4,2014,4,0,777-777,386-800,664-435,F
4,4,2014,4,6,999-999,139-853,139-853,I
4,4,2014,4,10,999-999,641-926,139-853,F
4,4,2014,4,24,999-999,569-307,569-307,I
4,4,2014,4,25,999-999,127-743,569-307,F
4,4,2014,4,59,888-888,638-077,853-439,F
4,4,2014,5,22,888-888,185-652,185-652,I
4,4,2014,5,26,777-777,799-963,799-963,I
4,4,2014,5,36,888-888,761-931,185-652,F
4,4,2014,5,48,888-888,962-084,962-084,I
4,4,2014,5,48,888-888,129-360,962-084,F
4,4,2014,5,49,777-777,837-966,799-963,F
4,4,2014,5,56,999-999,566-456,566-456,I
4,4,2014,5,59,999-999,394-441,566-456,F
4,4,2014,6,2,777-777,362-450,362-450,I
4,4,2014,6,5,999-999,102-704,102-704,I
4,4,2014,6,35,999-999,484-815,102-704,F
4,4,2014,6,40,777-777,420-586,362-450,F
4,4,2014,6,46,888-888,215-621,215-621,I
4,4,2014,6,59,777-777,962-084,962-084,I
4,4,2014,7,3,888-888,676-556,215-621,F
4,4,2014,7,10,777-777,876-218,962-084,F
4,4,2014,7,37,999-999,598-558,598-558,I
4,4,2014,7,40,888-888,203-051,203-051,I
4,4,2014,7,43,999-999,347-222,598-558,F
4,4,2014,7,43,888-888,415-119,203-051,F
4,4,2014,7,45,999-999,812-548,812-548,I
4,4,2014,7,55,999-999,853-439,812-548,F
4,4,2014,7,57,888-888,638-077,638-077,I
4,4,2014,8,1,999-999,347-222,347-222,I
4,4,2014,8,11,888-888,644-829,638-077,F
4,4,2014,8,30,777-777,127-743,127-743,I
4,4,2014,8,36,777-777,295-838,127-743,F
4,4,2014,8,52,888-888,853-439,853-439,I
4,4,2014,9,0,888-888,744-955,853-439,F
4,4,2014,9,24,999-999,414-720,347-222,F
4,4,2014,9,30,777-777,598-558,598-558,I
4,4,2014,9,33,888-888,550-515,550-515,I
4,4,2014,9,50,777-777,765-650,598-558,F
4,4,2014,9,55,777-777,734-320,734-320,I
4,4,2014,9,59,777-777,394-441,734-320,F
4,4,2014,10,1,777-777,295-838,295-838,I
4,4,2014,10,16,888-888,895-483,550-515,F
4,4,2014,10,16,777-777,569-307,295-838,F
4,4,2014,10,23,999-999,286-218,286-218,I
4,4,2014,10,23,777-777,584-794,584-794,I
4,4,2014,10,25,999-999,814-087,286-218,F
4,4,2014,10,25,999-999,953-940,953-940,I
4,4,2014,10,52,888-888,524-351,524-351,I
4,4,2014,10,57,999-999,524-351,953-940,F
4,4,2014,10,59,777-777,220-106,584-794,F
4,4,2014,11,19,888-888,545-330,524-351,F
4,4,2014,11,33,777-777,511-261,511-261,I
4,4,2014,11,34,999-999,315-664,315-664,I
4,4,2014,11,40,888-888,460-290,460-290,I
4,4,2014,11,48,777-777,566-456,511-261,F
4,4,2014,11,51,999-999,700-151,315-664,F
4,4,2014,12,2,888-888,129-360,460-290,F
4,4,2014,12,20,999-999,393-359,393-359,I
4,4,2014,12,20,888-888,358-198,358-198,I
4,4,2014,12,28,999-999,295-838,393-359,F
4,4,2014,12,39,888-888,127-743,358-198,F
4,4,2014,12,41,888-888,220-106,220-106,I
4,4,2014,13,7,999-999,449-655,449-655,I
4,4,2014,13,10,888-888,765-650,220-106,F
4,4,2014,13,27,888-888,527-735,527-735,I
